1021000907,0,,3,,1,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,38,,,1
1021000908,0,,0,,0,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,936000,,,,1,21,,,1
1021000909,0,,0,,5,225,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,6000000,,,,0,25,,,1
1021000910,1,,1,,1,542,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,43,,0.5,1
1021000911,1,,2,,3,332,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,36000,,,,1,39,,,1
1021001001,1,,1,,3,611,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,3675000,,,,0,30,,,1
1021001003,1,,1,,2,621,Central,kampala,urban,0.8,2,8,1500,0,1500,404.0859,105.1939,251.5048,10.5,20,30.5,1500,12.075,20.165,32.24,1,60,3,0.5,1
1021001004,1,,1,,1,751,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,36000,,,,0,27,,,1
1021001005,1,,1,,3,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,861000,,,,0,40,,,1
1021001006,0,,5,,1,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,1702000,,,,0,54,,1.6,1
1021001007,1,,1,,3,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,2400000,,,,1,32,,2,1
1021001008,1,,1,,0,921,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,3600000,,,,0,30,,0.5,1
1021001009,1,,1,,1,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,8704000,,,,0,38,,,1
1021001011,0,,5,,0,712,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,35,,3,1
1021001015,1,,1,,0,832,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,1208000,,,,0,26,,,1
1021001102,1,,1,,2,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,1500000,,,,1,42,,14,1
1021001103,0,,3,,6,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,0,41,,,1
1021001104,1,,0,,3,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,880000,,,,0,23,,,1
1021001105,1,,0,,6,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,60000,,,,0,25,,,1
1021001106,1,,1,,6,611,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,25,,0.2,1
1021001107,1,,1,,1,612,Central,kampala,urban,0,,9,0,,0,0,,0,0,,0,0,,,,0,45,,4,1
1021001109,1,,2,,6,329,Central,kampala,urban,1,0.01,12,0,0,0,94.92152,95.75254,94.16325,2.5,2.5,5,0,14,1.53,15.53,1,39,3.2,3.9,1
1021001110,1,,1,,1,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,1350000,,,,1,32,,,1
1021001201,1,,1,,2,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,3200000,,,,0,52,,,1
1021001202,0,,3,,3,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,35,,3.666667,1
1021001205,0,,3,,3,714,Central,kampala,urban,0,,9,0,,0,0,,0,0,,0,8000,,,,0,32,,0.5,1
1021001206,0,,1,,1,611,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,0,,,,0,37,,1,1
1021001207,1,,1,,2,611,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,2400000,,,,0,26,,,1
1021001208,1,,1,,2,522,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,0,,,,0,49,,0.3,1
1021001210,1,,1,,5,225,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,30000,,,,0,30,,1.6,1
1021001211,1,,0,,2,329,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,48000,,,,1,26,,3,1
1021001301,0,,5,,7,,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,360000,,,,0,,,,1
1021001302,0,,5,,4,332,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,360000,,,,1,41,,,1
1021001303,1,,1,,4,326,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,2300000,,,,0,29,,0.2,1
1021001304,1,,2,,1,741,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,3264000,,,,0,32,,0.7833334,1
1021001305,1,,0,,0,921,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,100000,,,,0,25,,,1
1021001306,1,,1,,7,332,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,5548000,,,,0,40,,2,1
1021001307,0,,3,,3,828,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,0,,,,0,34,,5.866667,1
1021001308,1,,1,,1,723,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,24400,,,,1,32,,,1
1021001309,0,,5,,6,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,50,,,1
1021001311,1,,1,,0,511,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,120000,,,,1,25,,,1
1021001402,0,,5,,1,621,Central,kampala,urban,0,,8,0,,0,0,,0,0,,0,0,,,,0,70,,0.5,1
1021001403,1,,1,,1,611,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,39,,,1
1021001405,1,,1,,1,751,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,480000,,,,1,30,,,1
1021001406,1,,1,,0,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,30,,,1
1021001407,1,,1,,1,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,96000,,,,0,28,,,1
1021001408,1,,2,,1,621,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,66000,,,,1,34,,1.066667,1
1021001409,1,,1,,1,622,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,0,27,,1,1
1021001410,1,,1,,0,111,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,3060000,,,,0,30,,2,1
1021001415,0,,3,,2,549,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,16000,,,,0,22,,0.5,1
1021001416,1,,1,,0,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,1878000,,,,0,24,,,1
1021001501,1,,1,,3,832,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,324000,,,,1,23,,,1
1021001502,1,,1,,1,611,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,0,,,,0,23,,,1
1021001504,1,,1,,3,324,Central,kampala,urban,0,,9,0,,0,0,,0,0,,0,1840000,,,,0,67,,2,1
1021001505,0,,5,,6,611,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,44,,,1
1021001507,0,,1,,2,621,Central,kampala,urban,0,,8,0,,0,0,,0,0,,0,0,,,,0,45,,0.39,1
1021001511,1,,2,,2,621,Central,kampala,urban,0,,8,0,,0,0,,0,0,,0,1800000,,,,0,29,,2,1
1021001512,0,,2,,0,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,33,,,1
1021001513,1,,1,,1,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,19,,,1
1021001516,1,,1,,4,412,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,20000,,,,0,25,,2,1
1021001517,0,,2,,7,621,Central,kampala,urban,0,,10,0,,0,0,,0,0,,0,5062000,,,,1,51,,1.066667,1
1021001601,0,,5,,3,348,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,480000,,,,0,50,,,1
1021001603,1,,3,,3,249,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,6960000,,,,0,34,,0.05,1
1021001604,1,,1,,4,611,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,19000000,,,,0,57,,,1
1021001605,1,,1,,3,831,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,8104000,,,,1,41,,1.4,1
1021001606,1,,1,,7,330,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,16600000,,,,0,36,,0.7,1
1021001607,1,,1,,6,621,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,2932000,,,,0,57,,5,1
1021001609,0,,0,,1,611,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,10800000,,,,0,69,,4,1
1021001610,1,,1,,4,354,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,12700000,,,,0,33,,,1
1021001613,1,,1,,5,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,1000000,,,,0,32,,,1
1021001701,1,,1,,4,915,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,2310000,,,,1,41,,1.6,1
1021001704,0,,1,,6,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,29,,1.25,1
1021001705,1,,1,,1,621,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,60000,,,,0,30,,1.666667,1
1021001706,1,,1,,3,712,Central,kampala,urban,0,0.15,5,0,,0,0,,0,0,,0,127000,,,,1,24,,3,1
1021001707,1,,1,,3,232,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,480000,,,,0,,,2,1
1021001708,1,,1,,0,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,36000,,,,1,35,,,1
1021001709,0,,5,,2,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,32,,3,1
1021001710,1,,1,,6,621,Central,kampala,urban,4,,6,0,0,0,2011.542,63.15789,1024.578,23,4,27,27000,40.7,8.27,48.97,0,82,26,2,1
1021001711,0,,0,,5,123,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,1560000,,,,0,34,,,1
1021001713,0,,5,,0,225,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,38000,,,,1,56,,0.4,1
1021001801,1,,1,,2,832,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,24,,,1
1021001802,1,,1,,1,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,120000,,,,0,31,,,1
1021001803,1,,0,,1,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,850000,,,,1,33,,,1
1021001804,1,,1,,2,246,Central,kampala,urban,0,,8,0,,0,0,,0,0,,0,0,,,,0,31,,2.166667,1
